gene_id,condition,direction,endpoint_shift,recovery_shift,reversibility_index,persistence_breadth
AT4G02280,cold_high_light,up,0.8232375366666673,0.7047625259999997,0.1439135187474314,1
AT4G02360,cold_high_light,up,0.7178117606666672,0.721613282666667,-0.005295987344187791,3
AT4G05180,cold_high_light,down,-0.8864012399999979,-0.6492301233333322,0.2675663186873094,1
AT4G06744,cold_high_light,up,0.44475187033333174,0.34607090633333204,0.22187869367708446,1
AT4G08570,cold_high_light,up,0.3503832609999997,0.9954933836666666,-1.8411556557396942,2
AT4G10340,cold_high_light,down,-0.43018355333333247,-0.9487668233333331,-1.2054930179959031,1
AT4G12290,cold_high_light,up,1.5471827866666672,0.4091817546666672,0.7355310838558189,7
AT4G12470,cold_high_light,up,6.211545915,0.7345368999999993,0.8817465233209986,5
AT4G12580,cold_high_light,up,0.8188028186666676,0.7658166320000008,0.06471177853655785,3
AT4G13800,cold_high_light,up,0.4976966383333332,0.3899892223333339,0.2164117812020705,1
AT4G14020,cold_high_light,up,0.7433593886666676,0.45812959033333467,0.3837037678974333,2
AT4G15560,cold_high_light,down,-0.44210224333333414,-0.44693189999999916,-0.010924298031719237,1
AT4G15910,cold_high_light,up,1.4505350676666655,0.34707743133333224,0.7607245498093046,2
AT4G16146,cold_high_light,up,1.5736183643333366,0.47149828700000107,0.7003731669083875,1
AT4G17340,cold_high_light,down,-1.0800901603333326,-0.3585677099999991,0.6680205753477658,1
AT4G19230,cold_high_light,up,1.4012049590000002,0.8571387389999998,0.3882845378939316,3
AT4G19390,cold_high_light,up,1.5869560326666674,0.4017648059999992,0.7468330579235474,1
AT4G23670,cold_high_light,down,-0.6301208666666671,-0.5396379100000015,0.1435961915454721,1
AT4G24000,cold_high_light,up,0.49747434399999957,1.0158219273333327,-1.0419584237560873,7
AT4G25433,cold_high_light,up,0.5912554086666666,0.4596389776666663,0.2226050351011707,1
AT4G25480,cold_high_light,up,0.39693245000000044,0.4709503056666673,-0.186474690256911,1
AT4G26270,cold_high_light,up,0.7322004666666659,0.36425839933333215,0.5025154777739842,5
AT4G27657,cold_high_light,up,0.6309400590000003,0.43215524533333305,0.3150613292516701,1
